X_mm,Y_mm,Z_mm,alpha_rad,beta_rad,gamma_rad
70.04876,-672.0474,-21.067467,2.0327408,0.25346696,3.103127
70.26012,-673.1156,-20.984154,2.0317445,0.25544134,3.1032157
70.23992,-674.20514,-20.831505,2.0304005,0.25718635,3.1035907
70.05671,-675.3101,-20.635542,2.0288532,0.25877306,3.1041677
69.75604,-676.4311,-20.412447,2.0271838,0.2602595,3.1048944
69.36737,-677.5663,-20.17164,2.0254457,0.26167452,3.1057386
68.91165,-678.712,-19.918495,2.023679,0.26303285,3.1066763
68.40494,-679.864,-19.65612,2.0219123,0.26434457,3.1076865
67.85972,-681.01874,-19.386375,2.020163,0.2656172,3.1087508
67.285706,-682.1731,-19.110397,2.0184407,0.26685607,3.1098542
66.690414,-683.3244,-18.828907,2.0167503,0.26806456,3.110984
66.07968,-684.4705,-18.542393,2.0150938,0.26924458,3.1121304
65.45803,-685.6094,-18.251245,2.0134726,0.270397,3.113285
64.82893,-686.7391,-17.955822,2.011887,0.27152187,3.114442
64.195015,-687.8579,-17.656504,2.0103383,0.27261868,3.115596
63.558243,-688.9642,-17.353722,2.0088282,0.27368656,3.116743
62.92002,-690.05634,-17.047962,2.007358,0.2747243,3.1178799
62.281307,-691.1327,-16.739784,2.0059304,0.27573052,3.1190038
61.642704,-692.1917,-16.429823,2.0045476,0.27670363,3.120113
61.004505,-693.2319,-16.11877,2.0032125,0.2776419,3.1212058
60.366768,-694.2517,-15.807395,2.0019279,0.2785435,3.1222808
59.729366,-695.24976,-15.49652,2.0006962,0.2794067,3.1233375
59.092003,-696.2246,-15.187022,1.9995205,0.28022954,3.124375
58.454277,-697.17505,-14.879819,1.9984034,0.2810103,3.1253934
57.8157,-698.0998,-14.575863,1.9973469,0.28174704,3.1263924
57.175716,-698.99774,-14.276122,1.9963533,0.28243807,3.127372
56.53375,-699.868,-13.981574,1.995424,0.28308165,3.1283329
55.88919,-700.70953,-13.693188,1.9945605,0.28367624,3.1292753
55.24145,-701.5217,-13.411908,1.9937637,0.28422022,3.1302
54.58996,-702.3039,-13.138645,1.9930338,0.28471223,3.131107
53.93419,-703.05566,-12.874259,1.9923707,0.28515103,3.131998
53.273663,-703.7767,-12.619547,1.991774,0.28553534,3.1328733
52.607967,-704.4668,-12.37523,1.9912423,0.2858643,3.133734
51.936768,-705.12604,-12.141948,1.9907742,0.28613693,3.1345806
51.25982,-705.75464,-11.92025,1.9903675,0.28635252,3.1354141
50.57697,-706.3528,-11.710587,1.9900197,0.2865105,3.1362355
49.888165,-706.921,-11.513313,1.9897277,0.28661036,3.1370451
49.19346,-707.45984,-11.328684,1.9894882,0.28665194,3.137844
48.49302,-707.9699,-11.156851,1.9892975,0.28663495,3.1386325
47.787117,-708.4521,-10.997877,1.9891515,0.28655946,3.1394117
47.076157,-708.9071,-10.851732,1.9890457,0.2864255,3.1401813
46.360634,-709.3359,-10.7183,1.9889759,0.2862334,3.1409423
45.641167,-709.7394,-10.597389,1.9889371,0.2859835,-3.1414905
44.918476,-710.11865,-10.488733,1.9889247,0.28567627,-3.1407464
44.19339,-710.4747,-10.392008,1.9889338,0.28531238,-3.1400106
43.466835,-710.8085,-10.306838,1.9889596,0.2848925,-3.139283
42.739822,-711.121,-10.232797,1.9889971,0.28441748,-3.1385634
42.013454,-711.41327,-10.169421,1.9890417,0.2838883,-3.1378524
41.28889,-711.6864,-10.116224,1.9890888,0.283306,-3.1371498
40.567364,-711.94116,-10.072689,1.9891341,0.28267172,-3.136456
39.850143,-712.1786,-10.038291,1.9891733,0.28198668,-3.135771
39.138542,-712.39954,-10.0124855,1.9892025,0.28125238,-3.1350951
38.433903,-712.6049,-9.994731,1.9892181,0.28047016,-3.1344287
37.737556,-712.7955,-9.984487,1.9892169,0.27964166,-3.1337721
37.050846,-712.97205,-9.9812155,1.9891958,0.27876857,-3.1331253
36.375084,-713.1354,-9.984387,1.9891522,0.2778526,-3.1324887
35.711548,-713.2862,-9.993488,1.9890839,0.27689564,-3.1318624
35.061474,-713.4251,-10.008012,1.9889889,0.27589968,-3.1312468
34.426033,-713.5528,-10.027476,1.9888657,0.2748668,-3.1306415
33.80633,-713.6699,-10.051413,1.9887131,0.27379903,-3.130047
33.203377,-713.77704,-10.079375,1.9885304,0.2726987,-3.1294637
32.618095,-713.87476,-10.110934,1.988317,0.27156803,-3.1288908
32.051308,-713.9636,-10.145686,1.9880725,0.27040935,-3.1283286
31.503729,-714.04407,-10.1832485,1.9877974,0.26922512,-3.127777
30.975956,-714.1167,-10.223257,1.9874917,0.26801774,-3.1272364
30.46848,-714.182,-10.265373,1.9871563,0.26678973,-3.1267056
29.981668,-714.24036,-10.30928,1.9867917,0.26554352,-3.1261854
29.515781,-714.2923,-10.354681,1.9863992,0.26428166,-3.1256752
29.07096,-714.3382,-10.4013,1.9859798,0.26300663,-3.1251745
28.64725,-714.37854,-10.448885,1.9855349,0.2617209,-3.1246834
28.24458,-714.41364,-10.497197,1.9850659,0.26042688,-3.1242018
27.862785,-714.4439,-10.546025,1.9845744,0.25912708,-3.1237288
27.501625,-714.4697,-10.595168,1.9840618,0.25782374,-3.1232646
27.160763,-714.49146,-10.644447,1.98353,0.25651914,-3.122809
26.839798,-714.50934,-10.693704,1.9829806,0.2552156,-3.1223612
26.538261,-714.52374,-10.742786,1.9824153,0.25391507,-3.1219213
26.255642,-714.535,-10.791565,1.9818358,0.2526197,-3.121489
25.991356,-714.54333,-10.839921,1.9812441,0.2513314,-3.121064
25.74482,-714.54895,-10.887751,1.9806415,0.25005195,-3.1206458
25.515385,-714.55225,-10.934963,1.9800301,0.2487831,-3.1202343
25.302399,-714.55334,-10.981478,1.9794112,0.24752644,-3.1198292
25.105194,-714.5524,-11.027224,1.9787867,0.24628346,-3.1194303
24.92308,-714.54974,-11.072143,1.9781581,0.24505553,-3.1190374
24.755379,-714.54553,-11.116183,1.977527,0.24384394,-3.1186502
24.601406,-714.53986,-11.159305,1.9768949,0.24264981,-3.1182685
24.460484,-714.5329,-11.201473,1.9762632,0.24147418,-3.117892
24.33194,-714.52484,-11.242659,1.9756331,0.240318,-3.1175206
24.21513,-714.5158,-11.282842,1.9750063,0.23918208,-3.1171541
24.109406,-714.5059,-11.322006,1.974384,0.23806714,-3.1167924
24.014149,-714.49524,-11.360142,1.9737672,0.2369738,-3.1164353
23.928757,-714.48395,-11.397245,1.973157,0.23590259,-3.1160824
23.852646,-714.4721,-11.433313,1.9725548,0.23485397,-3.1157336
23.785255,-714.4598,-11.468347,1.9719613,0.23382823,-3.115389
23.726051,-714.4471,-11.502354,1.9713775,0.23282571,-3.1150486
23.674519,-714.434,-11.535339,1.9708045,0.23184656,-3.1147118
23.630161,-714.4207,-11.567319,1.9702429,0.23089093,-3.1143787
23.592518,-714.4072,-11.598301,1.9696934,0.22995883,-3.1140492
23.56113,-714.39355,-11.628304,1.969157,0.22905032,-3.113723
23.535583,-714.3798,-11.65734,1.9686341,0.22816531,-3.1134002
23.515472,-714.366,-11.685431,1.9681253,0.22730367,-3.1130807
23.500404,-714.3522,-11.712591,1.9676313,0.22646528,-3.1127641
23.490032,-714.3384,-11.738846,1.9671525,0.22564991,-3.1124508
23.484013,-714.32465,-11.764212,1.9666892,0.22485733,-3.1121404
23.482014,-714.311,-11.788712,1.966242,0.22408722,-3.1118329
23.48375,-714.2974,-11.812367,1.965811,0.22333933,-3.1115282
23.488918,-714.284,-11.8352,1.9653966,0.22261328,-3.111226
