X_mm,Y_mm,Z_mm,alpha_rad,beta_rad,gamma_rad
12.014908,-616.7474,-9.81609,1.6740263,0.30833414,3.0829928
7.925003,-614.23987,-9.945541,1.6597916,0.31575027,3.0894718
6.1909256,-611.30634,-10.014893,1.6499567,0.31599328,3.0961163
5.212288,-609.8134,-9.96611,1.6463826,0.31679597,3.099959
4.8483467,-609.40497,-9.857569,1.6472144,0.3188269,3.102003
4.6253815,-609.5047,-9.550893,1.6492488,0.32164788,3.1033332
4.572609,-610.06665,-8.997523,1.6518586,0.32509544,3.104484
4.6746864,-610.8728,-8.431597,1.6547714,0.32835963,3.1055207
4.850193,-611.9097,-7.7950745,1.6574799,0.33186117,3.1064763
5.078926,-613.1393,-7.1114655,1.6599082,0.33553824,3.1073935
5.334488,-614.54224,-6.371599,1.6619558,0.33948305,3.1082923
5.603634,-616.003,-5.6509113,1.66365,0.34337503,3.1091354
5.859226,-617.38885,-5.024269,1.6649631,0.34693718,3.1098623
6.11158,-618.8624,-4.313488,1.665847,0.3509853,3.1105666
6.378273,-620.32825,-3.63103,1.6665703,0.3549836,3.1112325
6.658016,-621.7936,-2.9226103,1.6670443,0.35930967,3.1118255
6.895382,-622.7272,-2.6044807,1.667446,0.36174157,3.1121037
7.044277,-623.18866,-2.4810314,1.6673557,0.36309302,3.112068
7.134281,-623.26154,-2.5002356,1.6669325,0.3634665,3.1117952
7.1658516,-623.0067,-2.6527672,1.6662751,0.36301476,3.11135
7.1407623,-622.5112,-2.894637,1.6654353,0.36204308,3.110795
7.0667343,-621.7234,-3.2913237,1.6644968,0.3603441,3.110102
6.9305687,-620.4253,-3.9729986,1.6635866,0.35731414,3.1091993
6.738743,-618.5009,-4.967639,1.6627489,0.35283187,3.1080618
6.503666,-616.83167,-5.6036367,1.6616715,0.3499709,3.107159
6.3532524,-615.48615,-6.0903034,1.6611593,0.34767708,3.1065357
6.2348213,-614.3618,-6.4981766,1.6609334,0.34574968,3.106041
6.1402397,-613.4234,-6.8265123,1.660866,0.34422255,3.1056278
6.089569,-612.5356,-7.1728477,1.6609682,0.3426521,3.105208
6.072624,-611.7375,-7.442255,1.6610898,0.34136438,3.1047902
6.071396,-611.3147,-7.4617853,1.661207,0.34114012,3.1045642
6.113804,-611.17395,-7.386819,1.6615753,0.34126982,3.1045036
6.1585197,-611.1759,-7.2880383,1.6620193,0.34151125,3.104509
6.1797523,-611.24066,-7.189028,1.662435,0.34177125,3.1045408
6.155163,-611.30176,-7.1311226,1.6627785,0.3419108,3.1045802
6.033203,-611.29364,-7.1549263,1.6630026,0.34177622,3.1046305
5.8447037,-611.12604,-7.280157,1.6631097,0.34116548,3.1046524
5.6607056,-610.87134,-7.410779,1.6631535,0.34045234,3.1046748
5.533779,-610.6035,-7.5217056,1.6632748,0.3397458,3.1047127
5.4611626,-610.3905,-7.582757,1.6634184,0.33920628,3.1047506
5.459114,-610.34924,-7.4767084,1.6635638,0.33918133,3.1048326
5.533085,-610.4324,-7.3218346,1.6638564,0.3392767,3.104937
5.632992,-610.57855,-7.147846,1.6641837,0.3394143,3.1050203
5.738453,-610.7983,-6.944659,1.6644846,0.33969453,3.1051013
5.8176346,-611.01263,-6.809519,1.6647798,0.33983228,3.105164
5.8346405,-611.1754,-6.741311,1.6649532,0.33985263,3.105198
5.7814255,-611.2249,-6.7759705,1.6650058,0.33959806,3.105195
5.654377,-611.1583,-6.8994513,1.6648972,0.33914453,3.1051676
5.5003204,-611.03625,-7.0434675,1.6646521,0.33871785,3.1051416
5.359829,-610.9016,-7.1952763,1.6643726,0.3383489,3.1051292
5.2512703,-610.77423,-7.3509045,1.6640987,0.33806062,3.1051207
5.1750145,-610.65704,-7.508853,1.6638525,0.3378399,3.1051073
5.128105,-610.54156,-7.6783714,1.663643,0.33764428,3.105082
5.104664,-610.4132,-7.8893433,1.6634657,0.3374116,3.105035
5.1049156,-610.2939,-8.102212,1.6632851,0.33725634,3.104972
5.123001,-610.2013,-8.299944,1.6631364,0.33717614,3.1049178
5.141121,-610.13745,-8.484333,1.6630223,0.33715224,3.1048863
5.1477623,-610.1026,-8.638222,1.6629257,0.33720767,3.1048837
5.144699,-610.07117,-8.800778,1.6628557,0.33722594,3.104897
5.125225,-610.057,-8.964247,1.6627566,0.33730394,3.104924
5.094452,-610.0755,-9.104217,1.6626346,0.33749425,3.104975
5.040497,-610.1233,-9.27287,1.6625001,0.33771473,3.1050544
4.972183,-610.1797,-9.408184,1.6623224,0.3380198,3.1051433
4.9078484,-610.22266,-9.527994,1.6621627,0.33827108,3.1052392
4.84494,-610.24023,-9.646748,1.6620178,0.3384343,3.1053271
4.789112,-610.2457,-9.745491,1.6618996,0.33857504,3.1054137
4.745323,-610.24976,-9.825175,1.6618686,0.33869445,3.1055198
4.721878,-610.24396,-9.892412,1.6619465,0.33876604,3.1056387
4.7212524,-610.2245,-9.953937,1.6620655,0.33878842,3.105735
4.750286,-610.20337,-9.995349,1.6621811,0.33881843,3.1057942
4.811886,-610.1949,-10.005659,1.6623087,0.33888096,3.1058252
4.906521,-610.2589,-9.926584,1.6623765,0.33918417,3.105834
4.974491,-610.4043,-9.819375,1.662285,0.3396053,3.105813
5.000744,-610.6247,-9.66535,1.6620252,0.3402312,3.1057947
5.007015,-610.98145,-9.410006,1.6615905,0.3412893,3.1058114
5.0188713,-611.3463,-9.192878,1.6612793,0.34219542,3.1058695
5.0138016,-611.71344,-8.97338,1.6609946,0.34315914,3.1059573
5.0077744,-612.04785,-8.776376,1.6607962,0.3440166,3.1060612
4.9938126,-612.33276,-8.611394,1.6606389,0.34474385,3.1061623
4.970276,-612.56085,-8.4769,1.660504,0.34533343,3.106253
4.940735,-612.7253,-8.350731,1.660392,0.34579438,3.1063304
4.9262238,-612.7905,-8.273623,1.6603266,0.3459621,3.1063638
4.9229813,-612.78284,-8.221343,1.6602626,0.3459825,3.1063495
4.924179,-612.7362,-8.186711,1.6602166,0.34592018,3.106312
4.925541,-612.6673,-8.160641,1.660185,0.3458146,3.1062617
4.9256287,-612.57526,-8.12694,1.660181,0.3456902,3.1062038
4.922493,-612.4766,-8.093494,1.66022,0.34556362,3.1061566
4.9173584,-612.3587,-8.054037,1.6603068,0.34541342,3.1061091
4.910179,-612.23285,-8.034256,1.6604158,0.34521663,3.1060615
4.9008827,-612.0949,-8.0336485,1.6605353,0.3449707,3.1060069
4.8900414,-611.94196,-8.054521,1.6606771,0.34466666,3.1059518
4.8763885,-611.7704,-8.095137,1.6608983,0.34430572,3.10592
4.864746,-611.55994,-8.163235,1.6612144,0.3438215,3.1059015
4.8588943,-611.291,-8.265619,1.6615089,0.34315914,3.1058347
4.8494263,-611.0114,-8.367121,1.6617148,0.34250182,3.105735
4.8633575,-610.6471,-8.522363,1.6619204,0.34151632,3.105564
4.878212,-610.4315,-8.540954,1.6619748,0.3411447,3.1054409
4.9331207,-610.3613,-8.511736,1.6621491,0.34102452,3.1053927
