X_mm,Y_mm,Z_mm,alpha_rad,beta_rad,gamma_rad
66.67257,-675.7877,-21.630835,2.0232685,0.24732497,3.1062438
67.12216,-676.07666,-21.763647,2.0261724,0.24705976,3.1078048
67.51368,-676.3168,-21.84497,2.0292084,0.24661843,3.1095493
67.872284,-676.51263,-21.898594,2.0322962,0.24606071,3.111398
68.21141,-676.674,-21.938862,2.035397,0.24543591,3.1133103
68.53681,-676.8094,-21.973408,2.0385036,0.24477257,3.115267
68.85094,-676.9255,-22.005993,2.0416245,0.24408638,3.117258
69.15506,-677.02747,-22.038359,2.0447733,0.24338658,3.119277
69.449936,-677.1199,-22.071224,2.0479603,0.24267884,3.1213188
69.7361,-677.2066,-22.104824,2.0511928,0.24196653,3.12338
70.01391,-677.2908,-22.139174,2.0544755,0.24125142,3.1254573
70.28366,-677.3751,-22.174196,2.0578108,0.24053417,3.1275494
70.54562,-677.46185,-22.209793,2.0612004,0.23981482,3.1296551
70.800026,-677.5527,-22.245869,2.064645,0.23909299,3.1317732
71.047104,-677.6491,-22.282345,2.0681458,0.23836818,3.1339033
71.28709,-677.7522,-22.319153,2.0717034,0.23763973,3.136045
71.52019,-677.86285,-22.356243,2.0753195,0.2369069,3.1381981
71.7466,-677.9818,-22.393566,2.078995,0.23616898,3.1403623
71.96649,-678.10956,-22.431072,2.0827312,0.23542523,-3.140648
72.18005,-678.2466,-22.46872,2.0865297,0.23467487,-3.1384616
72.387405,-678.39307,-22.50646,2.0903919,0.23391719,-3.1362648
72.5887,-678.54944,-22.544245,2.0943196,0.23315147,-3.1340573
72.78405,-678.71576,-22.582016,2.0983143,0.23237698,-3.1318393
72.97356,-678.89215,-22.61972,2.1023777,0.23159304,-3.1296108
73.15731,-679.0787,-22.657291,2.106511,0.230799,-3.127372
73.3354,-679.27545,-22.694672,2.1107166,0.22999422,-3.125123
73.507904,-679.48236,-22.731789,2.1149955,0.22917812,-3.1228642
73.6749,-679.69946,-22.768574,2.1193492,0.2283501,-3.1205955
73.83644,-679.92664,-22.804958,2.1237798,0.22750966,-3.118317
73.99261,-680.1638,-22.840862,2.1282885,0.2266563,-3.116029
74.14344,-680.4109,-22.876217,2.1328766,0.22578955,-3.1137316
74.28903,-680.6677,-22.910942,2.1375458,0.22490901,-3.1114254
74.42942,-680.9341,-22.944962,2.1422973,0.22401433,-3.10911
74.56469,-681.2098,-22.9782,2.147132,0.22310512,-3.1067863
74.6949,-681.49457,-23.010582,2.1520514,0.22218113,-3.1044543
74.82013,-681.78827,-23.042027,2.1570563,0.22124207,-3.1021142
74.940475,-682.0905,-23.07246,2.1621478,0.22028771,-3.0997667
75.05601,-682.401,-23.101809,2.1673265,0.21931788,-3.097412
75.16684,-682.71936,-23.13,2.1725929,0.21833244,-3.095051
75.27308,-683.0453,-23.156963,2.1779475,0.21733122,-3.0926838
75.37485,-683.3783,-23.182634,2.1833906,0.21631412,-3.090311
75.472275,-683.718,-23.206947,2.1889222,0.21528111,-3.0879335
75.565506,-684.0639,-23.229841,2.194542,0.2142321,-3.085552
75.65469,-684.4155,-23.251265,2.20025,0.2131671,-3.0831673
75.74002,-684.7723,-23.271164,2.206045,0.21208604,-3.0807803
75.82168,-685.1337,-23.289497,2.2119265,0.21098898,-3.0783918
75.89985,-685.4992,-23.306221,2.2178934,0.20987596,-3.0760028
75.97477,-685.8681,-23.321308,2.2239442,0.20874692,-3.0736148
76.04665,-686.23975,-23.334728,2.230077,0.20760201,-3.0712287
76.115746,-686.61365,-23.346466,2.2362902,0.2064412,-3.0688462
76.18231,-686.98895,-23.35651,2.2425816,0.20526455,-3.0664682
76.24662,-687.36505,-23.364857,2.2489483,0.20407216,-3.0640967
76.308945,-687.7413,-23.37151,2.255388,0.20286405,-3.0617328
76.36958,-688.1169,-23.376484,2.2618973,0.20164032,-3.0593781
76.42883,-688.4911,-23.3798,2.2684731,0.200401,-3.057035
76.48699,-688.8632,-23.381485,2.275112,0.19914617,-3.0547044
76.54437,-689.2326,-23.381577,2.28181,0.19787589,-3.052389
76.6013,-689.59845,-23.380121,2.2885633,0.19659024,-3.05009
76.65808,-689.9601,-23.377165,2.295368,0.1952893,-3.0478098
76.71502,-690.3168,-23.372768,2.3022196,0.19397314,-3.0455503
76.77244,-690.6679,-23.366995,2.3091142,0.19264187,-3.0433133
76.830635,-691.01276,-23.35991,2.316047,0.19129555,-3.0411007
76.8899,-691.35077,-23.35159,2.3230138,0.18993434,-3.0389152
76.95052,-691.6813,-23.342108,2.33001,0.18855834,-3.036758
77.01278,-692.0038,-23.331545,2.3370311,0.18716769,-3.0346315
77.07693,-692.31775,-23.31998,2.344073,0.1857626,-3.0325377
77.1432,-692.6226,-23.307499,2.3511314,0.18434323,-3.0304782
77.21184,-692.91797,-23.294178,2.358202,0.18290976,-3.028455
77.28305,-693.2035,-23.280102,2.3652806,0.18146247,-3.0264697
77.35701,-693.47876,-23.265347,2.3723636,0.18000163,-3.0245245
77.43389,-693.7434,-23.249989,2.379447,0.17852752,-3.0226202
77.51385,-693.9973,-23.2341,2.3865275,0.17704047,-3.0207586
77.597,-694.2401,-23.217752,2.393602,0.17554086,-3.0189414
77.683464,-694.47174,-23.201006,2.4006667,0.17402905,-3.0171697
77.773315,-694.692,-23.18392,2.4077196,0.17250547,-3.0154443
77.866615,-694.9009,-23.166546,2.4147573,0.17097057,-3.0137668
77.96342,-695.09827,-23.148933,2.421778,0.16942485,-3.0121377
78.06374,-695.28424,-23.131119,2.428779,0.1678688,-3.0105581
78.16759,-695.45874,-23.11314,2.435758,0.1663029,-3.0090284
78.27494,-695.6219,-23.09502,2.4427142,0.16472776,-3.0075495
78.38577,-695.7738,-23.076784,2.4496453,0.16314393,-3.0061216
78.50003,-695.91455,-23.058447,2.4565501,0.16155203,-3.004745
78.61763,-696.0443,-23.040018,2.4634268,0.15995261,-3.0034204
78.73851,-696.1632,-23.021502,2.470275,0.15834634,-3.0021472
78.862564,-696.27155,-23.002895,2.4770927,0.15673384,-3.000926
78.98967,-696.3695,-22.984198,2.4838798,0.15511578,-2.9997563
79.11969,-696.4572,-22.965397,2.490635,0.15349281,-2.9986384
79.2525,-696.53503,-22.94648,2.4973571,0.15186557,-2.9975717
79.38794,-696.60315,-22.927433,2.5040462,0.1502348,-2.9965558
79.525826,-696.66187,-22.908241,2.510701,0.14860116,-2.9955904
79.66599,-696.7114,-22.888882,2.5173206,0.14696532,-2.994675
79.80823,-696.7521,-22.869337,2.5239043,0.14532803,-2.9938087
79.95235,-696.7842,-22.84959,2.5304513,0.14368996,-2.9929914
80.098114,-696.8079,-22.829617,2.5369608,0.14205186,-2.9922223
80.245316,-696.82367,-22.8094,2.543432,0.14041443,-2.9915001
80.39371,-696.83167,-22.788925,2.5498636,0.13877843,-2.9908245
80.543045,-696.8322,-22.768177,2.5562544,0.13714461,-2.9901943
80.693085,-696.8256,-22.74714,2.5626037,0.13551368,-2.9896088
80.843544,-696.81213,-22.725811,2.5689096,0.13388641,-2.9890668
80.99417,-696.7921,-22.70418,2.5751715,0.13226356,-2.9885676
81.14468,-696.7658,-22.68225,2.5813873,0.13064592,-2.98811
81.29479,-696.73346,-22.660019,2.5875556,0.1290343,-2.9876928
81.444214,-696.69543,-22.637497,2.5936751,0.12742941,-2.987315
81.592674,-696.65204,-22.614695,2.5997436,0.12583211,-2.9869757
81.73987,-696.6035,-22.591633,2.6057596,0.12424314,-2.986673
81.88551,-696.5501,-22.568327,2.6117213,0.12266334,-2.9864068
82.02931,-696.4922,-22.544807,2.6176264,0.12109348,-2.9861753
82.170975,-696.43,-22.521107,2.6234734,0.119534425,-2.9859774
82.31023,-696.36383,-22.497261,2.6292603,0.11798689,-2.9858117
82.446785,-696.294,-22.47331,2.634985,0.11645173,-2.9856775
82.58037,-696.22076,-22.449303,2.6406457,0.114929676,-2.985573
82.71073,-696.14435,-22.425285,2.6462405,0.11342155,-2.9854977
82.8376,-696.06506,-22.401318,2.6517673,0.111928105,-2.9854498
82.960754,-695.9832,-22.377453,2.6572244,0.110450074,-2.9854283
83.07994,-695.89905,-22.353758,2.6626103,0.10898826,-2.9854324
83.19496,-695.8128,-22.330296,2.6679232,0.1075433,-2.9854605
83.30562,-695.72473,-22.307133,2.673162,0.10611592,-2.9855115
83.41172,-695.6351,-22.284342,2.6783247,0.10470678,-2.9855847
83.513115,-695.54407,-22.261993,2.6834106,0.10331657,-2.9856787
83.60965,-695.45197,-22.240162,2.6884184,0.10194588,-2.9857924
83.7012,-695.359,-22.218922,2.6933472,0.10059524,-2.9859252
83.78766,-695.2654,-22.198349,2.6981962,0.09926529,-2.9860756
83.86895,-695.17126,-22.178518,2.702965,0.09795655,-2.986243
83.945,-695.0769,-22.159508,2.707653,0.096669465,-2.986426
84.01577,-694.9825,-22.141392,2.71226,0.09540453,-2.9866245
84.08123,-694.8881,-22.124245,2.7167861,0.09416213,-2.9868371
84.14139,-694.79407,-22.108135,2.7212315,0.09294266,-2.9870632
84.19625,-694.7004,-22.093142,2.725596,0.0917465,-2.9873018
84.24586,-694.6072,-22.079329,2.7298806,0.09057393,-2.9875522
84.29027,-694.5147,-22.066765,2.7340856,0.08942528,-2.987814
84.329544,-694.42303,-22.055513,2.7382116,0.08830073,-2.9880862
84.36379,-694.3322,-22.045637,2.74226,0.087200545,-2.9883685
84.39308,-694.24243,-22.037195,2.7462316,0.08612482,-2.98866
84.41756,-694.1536,-22.030245,2.7501273,0.08507376,-2.9889605
84.43733,-694.06604,-22.024836,2.7539487,0.08404749,-2.989269
84.45255,-693.9796,-22.021019,2.757697,0.08304605,-2.9895856
84.46337,-693.8944,-22.01884,2.7613738,0.082069464,-2.9899094
84.46993,-693.8105,-22.018341,2.7649808,0.081117816,-2.99024
84.47241,-693.72784,-22.019562,2.7685192,0.0801911,-2.9905775
84.47099,-693.64655,-22.022537,2.7719908,0.07928922,-2.9909208
84.46582,-693.5666,-22.027298,2.7753975,0.07841212,-2.99127
84.45711,-693.488,-22.033875,2.778741,0.07755977,-2.991625
84.44501,-693.41064,-22.04229,2.782023,0.07673202,-2.991985
84.429726,-693.33466,-22.052567,2.7852454,0.07592873,-2.9923503
84.41143,-693.25995,-22.064722,2.7884102,0.07514979,-2.9927204
84.39031,-693.1865,-22.078772,2.791519,0.07439501,-2.9930947
84.36654,-693.1143,-22.094727,2.7945738,0.07366422,-2.9934735
84.3403,-693.0433,-22.112597,2.7975762,0.07295716,-2.9938567
84.31177,-692.9734,-22.13239,2.8005283,0.07227367,-2.9942436
84.28111,-692.9046,-22.154104,2.803432,0.07161349,-2.9946344
